,Names,Prices,Ratings
0,"APPLE iPhone SE (Black, 64 GB)",29999,4.5
1,"APPLE iPhone SE (White, 64 GB)",29999,4.5
2,"APPLE iPhone 12 (Blue, 128 GB)",64999,4.7
3,"APPLE iPhone 12 (Black, 64 GB)",59999,4.7
4,"APPLE iPhone 12 Mini (Blue, 128 GB)",54999,4.5
5,"APPLE iPhone 12 Mini (Purple, 128 G",54999,4.5
6,"APPLE iPhone 12 (Red, 128 GB)",64999,4.7
7,"APPLE iPhone 12 Mini (Red, 128 GB)",54999,4.5
8,"APPLE iPhone 12 Mini (Black, 64 GB)",52199,4.5
9,"APPLE iPhone 12 Mini (White, 64 GB)",49599,4.5
10,"APPLE iPhone 12 (Red, 64 GB)",59999,4.7
11,"APPLE iPhone 12 Mini (Blue, 64 GB)",50099,4.5
12,"APPLE iPhone SE (Red, 64 GB)",29999,4.5
13,"APPLE iPhone SE (Red, 128 GB)",34999,4.5
14,"APPLE iPhone 12 Mini (Purple, 64 GB",52199,4.5
15,"APPLE iPhone 12 Mini (Black, 128 GB",54399,4.5
16,"APPLE iPhone SE (Black, 128 GB)",34999,4.5
17,"APPLE iPhone SE (White, 128 GB)",34999,4.5
18,"APPLE iPhone 12 (Purple, 64 GB)",59999,4.7
19,"APPLE iPhone 12 (Blue, 64 GB)",61999,4.7
20,"APPLE iPhone 12 Mini (White, 256 GB",66099,4.5
21,"APPLE iPhone 12 Mini (Black, 256 GB",64999,4.5
22,"APPLE iPhone 12 Mini (Blue, 256 GB)",66199,4.5
23,"APPLE iPhone 13 Pro Max (Graphite, ",159900,4.7
24,"APPLE iPhone 11 (Black, 64 GB)",49900,4.6
25,"APPLE iPhone 13 Pro Max (Graphite, ",139900,4.7
26,"APPLE iPhone 12 (White, 128 GB)",64999,4.7
27,"APPLE iPhone SE (Red, 256 GB)",44999,4.5
28,"APPLE iPhone 11 (Yellow, 64 GB)",49900,4.6
29,"Apple iPhone XR (White, 64 GB) (Inc",47900,4.6
30,"APPLE iPhone 11 (Red, 64 GB)",49900,4.6
31,"APPLE iPhone 13 Pro Max (Gold, 512 ",159900,4.7
32,"APPLE iPhone XR (White, 64 GB)",47900,4.6
33,"APPLE iPhone 12 Mini (Purple, 256 G",64899,4.5
34,"APPLE iPhone 12 Mini (Green, 256 GB",66099,4.5
35,"APPLE iPhone XR (Black, 64 GB)",47900,4.6
36,"APPLE iPhone 13 Pro Max (Silver, 1 ",179900,4.7
37,"APPLE iPhone 12 Pro Max (Gold, 512 ",149900,4.6
38,"APPLE iPhone XR ((PRODUCT)RED, 64 G",47900,4.6
39,"Apple iPhone XR ((PRODUCT)RED, 64 G",47900,4.6
40,"APPLE iPhone 12 Mini (Red, 256 GB)",64999,4.5
