,Names,Prices,Ratings
0,DELL Inspiron Core i5 11th Gen - (8,70990,4.4
1,HP Pavilion Laptop 15-eg Core i5 11,72990,4.4
2,HP 15s Ryzen 3 Dual Core 3250U - (8,37590,4.2
3,ASUS Celeron Dual Core - (4 GB/1 TB,28990,3.9
4,HP Pavilion Ryzen 5 Hexa Core 5600H,63990,4.6
5,ASUS VivoBook 15 Core i5 10th Gen -,45990,4.0
6,ASUS TUF Gaming A17 Ryzen 5 Hexa Co,62990,4.5
7,DELL Inspiron Core i3 11th Gen - (8,51730,4.3
8,ASUS TUF Gaming A17 Ryzen 5 Hexa Co,66990,4.6
9,ASUS TUF Gaming F15 Core i5 10th Ge,58990,4.5
10,Lenovo IdeaPad Core i3 10th Gen - (,38990,4.2
11,Lenovo IdeaPad 3 Core i3 11th Gen -,41990,3.7
12,DELL Vostro Core i3 10th Gen - (8 G,39190,4.2
13,HP 15s Core i3 10th Gen - (8 GB/1 T,40990,4.1
14,DELL Vostro Core i3 10th Gen - (4 G,36057,4.2
15,Lenovo IdeaPad 3 Core i3 10th Gen -,38990,4.1
16,acer Aspire 5 Core i3 11th Gen - (8,39490,4.5
17,HP 15s Ryzen 3 Quad Core 5300U - (8,43990,4.5
18,HP 15-ec1105AX Ryzen 5 Hexa Core 46,59990,4.6
19,ASUS ROG Strix G15 (2021) Ryzen 9 O,102990,4.2
20,DELL Inspiron Ryzen 3 Dual Core 325,39170,4.4
21,acer Aspire 7 Core i5 10th Gen - (8,56990,4.2
22,DELL Vostro Core i3 11th Gen - (8 G,41150,4.4
23,HP 14s Core i3 11th Gen - (8 GB/256,41990,4.1
24,Lenovo IdeaPad 3 Core i3 11th Gen -,44490,4.3
25,ASUS ROG Strix G15 (2021) Advantage,154990,4.8
26,DELL Inspiron 3501 Core i5 11th Gen,57490,4.3
27,Lenovo IdeaPad Flex 5 Core i3 11th ,54990,4.5
28,HP Pavilion Gaming Ryzen 5 Hexa Cor,57990,4.2
29,ASUS VivoBook 15 Core i3 10th Gen -,39990,4.0
30,HP Pavilion Ryzen 5 Hexa Core 4600H,64990,4.8
31,ASUS ASUS TUF Dash F15 (2021) Core ,124990,4.3
32,Lenovo Ideapad Slim 5i Core i5 11th,66990,4.2
33,Lenovo IdeaPad 3 Core i3 10th Gen -,38990,4.1
34,HP Core i3 11th Gen - (8 GB/512 GB ,45390,4.3
35,ASUS VivoBook Ultra 14 Core i3 10th,39990,4.4
36,DELL Inspiron Core i5 11th Gen - (8,59490,4.2
37,HP 14s Core i3 11th Gen - (8 GB/256,41990,4.4
38,HP Pavilion Core i5 11th Gen - (16 ,66990,4.5
39,DELL Vostro Core i3 11th Gen - (8 G,40620,3.7
40,HP Core i3 11th Gen - (8 GB/256 GB ,41490,4.3
41,ASUS ROG Strix G15 (2021) Ryzen 7 O,77990,4.9
42,DELL Vostro Core i3 10th Gen - (8 G,39380,4.0
43,Lenovo Ideapad Slim 3i (2021) Core ,54990,3.9
44,HP Pavilion x360 Core i3 11th Gen -,51090,4.4
45,Lenovo Ideapad Gaming 3 Ryzen 5 Hex,62990,4.4
46,Lenovo Ideapad Slim 3i (2021) Core ,43990,4.2
47,ASUS VivoBook 14 Ryzen 5 Hexa Core ,50990,4.4
48,MSI GF65 Thin Hexa Core i5 10th Gen,74990,4.5
49,MSI Modern 14 Core i5 10th Gen - (8,49990,4.5
50,HP 15s Ryzen 3 Dual Core 3250U - (8,43990,4.4
51,HP 14s Core i3 11th Gen - (8 GB/256,41490,4.2
52,ASUS Core i3 10th Gen - (4 GB + 32 ,38990,4.3
53,ASUS Vivobook Gaming Core i5 9th Ge,54990,4.4
54,HP HP Pavilion Core i5 11th Gen - (,66990,4.6
55,ASUS VivoBook Ultra S15 Core i7 11t,84990,3.7
56,Lenovo E41 APU Dual Core A6 A6-9225,25990,4.4
57,MSI GF63 Thin Hexa Core i5 10th Gen,59990,4.5
58,ASUS ROG Strix G15 Core i7 10th Gen,80990,4.4
59,ASUS TUF Gaming F15 Core i5 10th Ge,66990,4.4
60,ASUS VivoBook Ultra 15 Core i5 11th,64990,4.4
61,Lenovo APU Dual Core A9 A99425 - (4,28000,4.7
62,HP Pavilion Core i7 11th Gen - (16 ,84990,4.1
63,ASUS TUF Gaming F17 (2021) Core i5 ,85990,4.5
64,HP Pavilion x360 Core i3 10th Gen -,50890,4.6
65,acer Aspire Ryzen 5 Hexa Core AMD R,55990,4.4
66,Lenovo Ideapad Slim 3i (2021) Core ,57990,3.8
67,ASUS ROG Strix G15 Core i5 10th Gen,71990,4.1
68,acer Aspire 7 Ryzen 5 Quad Core 355,51990,4.1
69,ASUS VivoBook 15 Core i3 10th Gen -,34990,4.1
70,Lenovo IdeaPad 3 Core i3 10th Gen -,38990,1.0
71,HP 14s Core i5 11th Gen - (8 GB/512,58990,1.0
72,ASUS Core i3 10th Gen - (8 GB + 32 ,40990,4.0
73,ASUS Core i5 10th Gen - (8 GB + 32 ,51990,4.2
74,HP Pavilion Gaming Ryzen 7 Octa Cor,80990,4.5
75,DELL Vostro Core i3 10th Gen - (8 G,39380,4.0
76,ASUS VivoBook Ultra Ryzen 7 Octa Co,63990,4.5
77,ASUS VivoBook Ultra 14 Core i3 10th,39990,4.4
78,APPLE MacBook Pro M1 - (8 GB/256 GB,112990,4.7
79,HP 15s Ryzen 5 Quad Core 3500U - (8,48990,4.2
80,Lenovo V Series Athlon Dual Core 31,25990,3.9
81,Lenovo Ideapad Gaming 3 Ryzen 5 Hex,55990,4.2
82,ASUS ROG Strix G15 (2020) Octa Core,89990,4.5
83,MSI GF63 Thin Core i5 10th Gen - (8,55990,4.0
84,HP Pavilion Core i5 11th Gen - (16 ,66990,4.2
85,ASUS TUF Gaming A17 Ryzen 7 Octa Co,88990,4.6
86,ASUS ROG Strix G15 Ryzen 5 Hexa Cor,89990,4.7
87,Lenovo IdeaPad 3 Core i3 10th Gen -,38990,4.1
88,ASUS ROG Strix G15 (2021) Ryzen 9 O,102990,3.8
89,Lenovo IdeaPad 3 Core i3 10th Gen -,36990,4.3
90,HP 15s Core i3 10th Gen - (8 GB/1 T,44490,4.5
91,ASUS TUF Gaming F15 Core i5 10th Ge,58990,4.3
92,HP Ryzen 5 Quad Core 3500U - (8 GB/,47990,4.8
93,HP OMEN 15 Ryzen 7 Octa Core 5800H ,129990,4.8
94,DELL Inspiron Core i5 11th Gen - (8,70850,4.2
95,Lenovo IdeaPad Core i3 10th Gen - (,38990,4.1
96,HP Pavilion x360 Core i3 10th Gen -,51490,4.4
97,HP 15s Core i3 11th Gen - (8 GB/1 T,42490,4.1
98,DELL Inspiron Core i5 11th Gen - (8,64620,4.4
99,HP Pavilion Core i7 11th Gen - (16 ,84990,4.4
100,HP Core i5 11th Gen - (8 GB + 32 GB,56590,4.1
101,Lenovo Legion 5 Core i7 10th Gen - ,82990,4.4
102,Lenovo ThinkPad E14 Gen2 Ryzen 5 He,53990,4.3
103,HP 15s Core i5 11th Gen - (8 GB/1 T,58390,3.8
104,DELL Inspiron Core i5 11th Gen - (8,66630,4.4
105,MSI Modern 14 Core i5 11th Gen - (8,54990,4.4
106,Lenovo Ideapad Flex 5 Core i3 11th ,52990,3.8
107,ASUS VivoBook 15 Core i3 10th Gen -,34990,4.6
108,acer Aspire Core i5 11th Gen - (8 G,48990,4.2
109,APPLE MacBook Air M1 - (8 GB/512 GB,109990,4.0
110,HP 15s Ryzen 5 Quad Core 3500U - (8,47990,4.4
111,Lenovo Ideapad Slim 5i Core i5 11th,62990,4.3
112,ASUS VivoBook Ultra 14 Core i5 10th,57990,4.5
113,HP Core i3 11th Gen - (8 GB/512 GB ,45590,4.5
114,RedmiBook 15 e-Learning Edition Cor,41999,4.6
115,ASUS ROG Strix G15 Core i7 10th Gen,80990,4.7
116,APPLE MacBook Air M1 - (8 GB/512 GB,109990,4.3
117,APPLE MacBook Pro M1 - (8 GB/512 GB,130990,4.7
118,HP 14s Core i5 11th Gen - (8 GB/512,56490,4.1
119,ASUS TUF Gaming F15 (2021) Core i5 ,104990,1.0
