,Names,Prices,Ratings
0,"OPPO A12 (Black, 32 GB)",8990,4.4
1,"OPPO A12 (Blue, 32 GB)",8990,4.4
2,"OPPO A12 (Flowing Silver, 64 GB)",9990,4.4
3,"OPPO A12 (Deep Blue, 64 GB)",9990,4.4
4,"OPPO A53 (Moonlight Black, 64 GB)",11990,4.5
5,"OPPO A33 (Moonlight Black, 32 GB)",9990,4.3
6,"OPPO A53 (Mint Cream, 64 GB)",11990,4.5
7,"OPPO A53 (Moonlight Black, 128 GB)",13990,4.4
8,"OPPO A53 (Mint Cream, 128 GB)",13990,4.4
9,"OPPO A33 (Mint Cream, 32 GB)",9990,4.3
10,"OPPO A53s 5G (Crystal Blue, 128 GB)",15990,4.3
11,"OPPO A53s 5G (Ink Black, 128 GB)",15990,4.3
12,"OPPO F19 (Space Silver, 128 GB)",18990,4.2
13,"OPPO A53 (Electric Black, 64 GB)",14488,4.5
14,"OPPO A53s 5G (Crystal Blue, 128 GB)",17990,4.3
15,"OPPO F19 Pro (Fantastic Purple, 128",21990,4.3
16,"OPPO A53s 5G (Ink Black, 128 GB)",17990,4.3
17,"OPPO A31 (Mystery Black, 64 GB)",12057,4.3
18,"OPPO A31 (Fantasy White, 64 GB)",12248,4.3
19,"OPPO F19 Pro (Fantastic Purple, 256",23490,4.3
20,"OPPO F19 (Midnight Blue, 128 GB)",18990,4.2
21,"OPPO F19 (Prism Black, 128 GB)",18990,4.2
22,"OPPO Reno6 5G (Aurora, 128 GB)",29990,4.3
23,"OPPO Reno6 5G (Stellar Black, 128 G",29990,4.3
24,"OPPO A31 (Mystery Black, 128 GB)",13469,4.3
25,"OPPO A11K (Flowing Silver, 32 GB)",8990,4.2
26,"OPPO A54 (Starry Blue, 128 GB)",15490,4.3
27,"OPPO A31 (Lake Green, 64 GB)",12989,4.3
28,"OPPO F19 Pro (Fluid Black, 128 GB)",21990,4.3
29,"OPPO F19 Pro (Crystal Silver, 256 G",23490,4.3
30,"OPPO F19 Pro (Crystal Silver, 128 G",21990,4.3
31,"OPPO F17 Pro (Magic Blue, 128 GB)",19990,4.4
32,"OPPO F17 Pro (Matte Black, 128 GB)",19990,4.4
33,"OPPO F17 Pro (Metallic White, 128 G",19990,4.4
34,"OPPO A54 (Moonlight Gold, 64 GB)",13990,4.3
35,"OPPO A15S (Rainbow Silver, 64 GB)",12990,4.3
36,"OPPO A15s (Dynamic Black, 64 GB)",12990,4.3
37,"OPPO A54 (Crystal Black, 64 GB)",13990,4.3
38,"OPPO F17 (Navy Blue, 128 GB)",18739,4.3
39,"OPPO A54 (Moonlight Gold, 128 GB)",16490,4.3
40,"OPPO A54 (Crystal Black, 128 GB)",15490,4.3
41,"OPPO A31 (Fantasy White, 128 GB)",13569,4.3
42,"OPPO F19 Pro+ 5G (Space Silver, 128",25990,4.3
43,"OPPO A74 5G BLACK (Fluid Black, 128",17990,4.3
44,"OPPO F17 (Dynamic Orange, 128 GB)",16745,4.2
45,"OPPO A15 (Dynamic Black, 32 GB)",10990,4.3
46,"OPPO Reno6 Pro 5G (Aurora, 256 GB)",39990,4.4
47,"OPPO Reno6 Pro 5G (Stellar Black, 2",39990,4.4
48,"OPPO F19 Pro+ 5G (Fluid Black, 128 ",25990,4.3
49,"OPPO A15 (Mystery Blue, 32 GB)",10990,4.3
