,Price
0,7499
1,7499
2,7999
3,8499
4,7999
5,11999
6,10999
7,9999
8,10999
9,9499
10,9499
11,8499
12,8499
13,11999
14,7199
15,7199
16,7199
17,7199
18,7999
19,11269
20,9999
21,17999
22,10999
23,6999
24,10999
25,8499
26,11999
27,9999
28,10999
29,6999
30,10499
31,9999
32,9999
33,9999
34,9999
35,10499
36,10499
37,11499
38,11499
39,13999
40,14999
41,7999
42,7999
43,7999
44,10999
45,11999
46,6699
47,6699
48,6699
49,11999
50,15999
51,10999
52,8990
53,10999
54,8499
55,11999
56,9999
57,10999
58,9990
59,9990
60,13499
61,8990
62,8990
63,10999
64,8999
65,8999
66,8999
67,13999
68,14999
69,16999
70,16999
71,11999
72,13499
73,9999
74,11990
75,11990
76,13999
77,9990
78,10999
79,13990
80,17999
81,12999
82,10999
83,8499
84,11999
85,9999
86,10999
87,13990
88,8999
89,16499
90,17999
91,8499
92,1577
93,11999
94,13999
95,13999
96,955
97,955
98,18999
99,10999
100,1131
101,10999
102,15999
103,1752
104,1752
105,1282
106,9499
107,15990
108,15990
109,1288
110,1274
111,10999
112,8499
113,11999
114,9999
115,10999
