,Names,Prices,Ratings
0,"realme C20 (Cool Grey, 32 GB)",7499,4.4
1,"realme C20 (Cool Blue, 32 GB)",7499,4.4
2,"realme C21 (Cross Blue, 32 GB)",8799,4.4
3,"realme C21 (Cross Black, 32 GB)",8799,4.4
4,"realme C21 (Cross Black, 64 GB)",9799,4.4
5,"realme C21 (Cross Blue, 64 GB)",9799,4.4
6,"realme C11 2021 (Cool Blue, 32 GB)",6999,4.3
7,"realme C11 2021 (Cool Grey, 32 GB)",6999,4.3
8,"realme C25s (Watery Blue, 128 GB)",11499,4.5
9,"realme C25s (Watery Grey, 128 GB)",11499,4.5
10,"realme C25s (Watery Blue, 64 GB)",10499,4.5
11,"realme C25s (Watery Grey, 64 GB)",10499,4.5
12,"realme 8 5G (Supersonic Black, 128 ",14999,4.3
13,"realme 8 5G (Supersonic Black, 64 G",13999,4.3
14,"realme Narzo 30 5G (Racing Silver, ",15999,4.4
15,"realme Narzo 30 5G (Racing Blue, 12",15999,4.4
16,"realme 8 5G (Supersonic Blue, 128 G",16999,4.3
17,"realme 8 5G (Supersonic Black, 128 ",16999,4.3
18,"realme 8 5G (Supersonic Blue, 128 G",14999,4.3
19,"realme 8 5G (Supersonic Blue, 64 GB",13999,4.3
20,"realme Narzo 30 (Racing Blue, 64 GB",13999,4.3
21,"realme Narzo 30A (Laser Black, 32 G",9499,4.3
22,"realme Narzo 30A (Laser Blue, 32 GB",9499,4.3
23,"realme Narzo 30 (Racing Blue, 128 G",14999,4.3
24,"realme 8 (Cyber Black, 128 GB)",16999,4.4
25,"realme 8 (Cyber Silver, 128 GB)",14999,4.3
26,"realme 8 (Cyber Black, 128 GB)",14999,4.3
27,"realme 8 (Cyber Black, 128 GB)",15999,4.3
28,"realme 8 (Cyber Silver, 128 GB)",15999,4.3
29,"realme X7 5G (Space Silver, 128 GB)",18999,4.3
30,realme Narzo 30 Pro 5G (Sword Black,15999,4.3
31,realme Narzo 30 Pro 5G (Blade Silve,15999,4.3
32,"realme X7 5G (Nebula, 128 GB)",18999,4.3
33,"realme Narzo 30 (Racing Silver, 128",14999,4.3
34,"realme X7 5G (Nebula, 128 GB)",20999,4.3
35,"realme X7 5G (Space Silver, 128 GB)",20999,4.3
36,"realme 8 (Cyber Silver, 128 GB)",16999,4.4
37,realme Narzo 30 Pro 5G (Blade Silve,18999,4.3
38,realme Narzo 30 Pro 5G (Sword Black,18999,4.3
39,"realme 8 Pro (Infinite Black, 128 G",19999,4.4
