,Names,Prices,Ratings
0,"APPLE iPhone SE (Black, 128 GB)",34999,4.5
1,"APPLE iPhone 12 (Blue, 128 GB)",82900,4.6
2,"APPLE iPhone 12 (White, 128 GB)",82900,4.6
3,"APPLE iPhone 12 (Blue, 64 GB)",77900,4.6
4,"APPLE iPhone 12 Mini (Black, 128 GB",72900,4.5
5,"APPLE iPhone 12 (Purple, 64 GB)",79900,4.6
6,"APPLE iPhone 12 (White, 64 GB)",77900,4.6
7,"APPLE iPhone 12 (Black, 128 GB)",82900,4.6
8,"APPLE iPhone 12 (Green, 128 GB)",82900,4.6
9,"APPLE iPhone 12 (Red, 128 GB)",82900,4.6
10,"APPLE iPhone 11 (Black, 64 GB)",51999,4.6
11,"APPLE iPhone 12 Mini (White, 128 GB",72900,4.5
12,"APPLE iPhone SE (White, 128 GB)",34999,4.5
13,"APPLE iPhone 12 (Black, 64 GB)",77900,4.6
14,"Apple iPhone XR ((PRODUCT)RED, 64 G",41999,4.6
15,"APPLE iPhone SE (Red, 128 GB)",34999,4.5
16,"APPLE iPhone 12 (Purple, 256 GB)",94900,4.6
17,"APPLE iPhone 12 (Green, 64 GB)",77900,4.6
18,"APPLE iPhone 11 (Green, 128 GB)",56999,4.6
19,"APPLE iPhone 12 (White, 256 GB)",92900,4.6
20,"APPLE iPhone 11 (Purple, 128 GB)",56999,4.6
21,"APPLE iPhone 11 (White, 64 GB)",51999,4.6
22,"APPLE iPhone XR (Black, 128 GB)",46999,4.6
23,"APPLE iPhone 11 (White, 128 GB)",56999,4.6
24,"APPLE iPhone SE (White, 64 GB)",32999,4.5
25,"APPLE iPhone 11 (Black, 128 GB)",56999,4.6
26,"APPLE iPhone XR (White, 64 GB)",41999,4.6
27,"APPLE iPhone 12 (Red, 256 GB)",92900,4.6
28,"APPLE iPhone 12 Mini (Red, 128 GB)",72900,4.5
29,"APPLE iPhone 12 (Black, 256 GB)",92900,4.6
30,"Apple iPhone XR (Yellow, 128 GB) (I",46999,4.6
31,"APPLE iPhone 12 (Green, 256 GB)",92900,4.6
32,"APPLE iPhone 12 (Blue, 256 GB)",92900,4.6
33,"APPLE iPhone XR (Black, 64 GB)",41999,4.6
34,"Apple iPhone XR ((PRODUCT)RED, 128 ",46999,4.6
35,"APPLE iPhone 11 (Red, 64 GB)",51999,4.6
36,"APPLE iPhone 12 Mini (Black, 64 GB)",67900,4.5
37,"APPLE iPhone 11 (Purple, 64 GB)",51999,4.6
38,"APPLE iPhone 12 Mini (Red, 256 GB)",82900,4.5
39,"APPLE iPhone XR (Yellow, 128 GB)",46999,4.6
40,"APPLE iPhone XR ((PRODUCT)RED, 64 G",41999,4.6
41,"APPLE iPhone 12 Mini (Purple, 64 GB",69900,4.5
42,"APPLE iPhone 12 (Red, 64 GB)",77900,4.6
43,"APPLE iPhone XR (White, 128 GB)",46999,4.6
44,"APPLE iPhone 11 (Green, 64 GB)",51999,4.6
45,"APPLE iPhone XR (Blue, 128 GB)",46999,4.6
46,"APPLE iPhone 12 Mini (White, 256 GB",82900,4.5
47,"APPLE iPhone XR ((PRODUCT)RED, 128 ",46999,4.6
48,APPLE iPhone 11 Pro (Midnight Green,74999,4.6
49,"APPLE iPhone 11 (Red, 128 GB)",56999,4.6
50,"Apple iPhone SE (White, 256 GB) (In",47999,4.5
51,"APPLE iPhone 12 Pro (Pacific Blue, ",115900,4.6
52,"APPLE iPhone 12 Pro (Gold, 128 GB)",115900,4.6
53,"APPLE iPhone 11 (Yellow, 128 GB)",56999,4.6
54,"APPLE iPhone 12 Pro (Pacific Blue, ",125900,4.6
55,"APPLE iPhone 12 Mini (Purple, 128 G",74900,4.5
56,"APPLE iPhone 12 Mini (Purple, 256 G",84900,4.5
57,"APPLE iPhone 11 (Yellow, 64 GB)",51999,4.6
58,"APPLE iPhone 12 Pro (Silver, 512 GB",145900,4.6
59,"APPLE iPhone 12 Pro (Graphite, 128 ",115900,4.6
60,APPLE iPhone 12 Pro Max (Pacific Bl,125900,4.6
61,"APPLE iPhone 11 (Purple, 256 GB)",68999,4.6
62,"APPLE iPhone 11 (Black, 256 GB)",68999,4.6
63,"APPLE iPhone 11 (White, 256 GB)",68999,4.6
64,"APPLE iPhone 11 (Red, 256 GB)",68999,4.6
65,"APPLE iPhone 11 Pro Max (Gold, 64 G",117100,4.7
66,"APPLE iPhone 11 (Green, 256 GB)",68999,4.6
67,"APPLE iPhone 11 (Yellow, 256 GB)",68999,4.6
68,APPLE iPhone 11 Pro Max (Space Grey,117100,4.7
69,"APPLE iPhone 12 Pro Max (Graphite, ",155900,4.6
70,"APPLE iPhone 8 (Silver, 256 GB)",77000,4.5
71,"APPLE iPhone 12 Pro (Silver, 128 GB",115900,4.6
72,"APPLE iPhone XS (Space Grey, 512 GB",134900,4.7
73,"APPLE iPhone XS (Gold, 512 GB)",134900,4.7
74,"APPLE iPhone 7 Plus (Black, 32 GB)",36999,4.5
75,"APPLE iPhone 8 (Gold, 256 GB)",77000,4.5
76,"APPLE iPhone 8 Plus (Gold, 64 GB)",49900,4.6
77,"APPLE iPhone 8 Plus (Space Grey, 64",49900,4.6
78,"APPLE iPhone 8 Plus (Space Grey, 25",84900,4.6
79,"APPLE iPhone 8 Plus (Silver, 256 GB",84900,4.6
80,"APPLE iPhone 12 Pro (Silver, 256 GB",125900,4.6
81,"APPLE iPhone 12 Pro (Gold, 256 GB)",125900,4.6
82,"APPLE iPhone 12 Pro (Graphite, 256 ",125900,4.6
83,"APPLE iPhone 12 Pro Max (Gold, 256 ",135900,4.6
84,"APPLE iPhone 8 (Space Grey, 256 GB)",77000,4.5
85,"APPLE iPhone 12 Pro Max (Gold, 128 ",125900,4.6
86,"APPLE iPhone 8 Plus (Silver, 64 GB)",49900,4.6
87,"APPLE iPhone 12 Pro Max (Silver, 12",125900,4.6
88,APPLE iPhone 12 Pro Max (Pacific Bl,135900,4.6
89,APPLE iPhone 11 Pro Max (Midnight G,117100,4.7
90,"APPLE iPhone 12 Pro (Pacific Blue, ",145900,4.6
91,"APPLE iPhone 12 Mini (Red, 64 GB)",67900,4.5
92,"APPLE iPhone 12 Mini (Blue, 256 GB)",82900,4.5
93,"Apple iPhone XR (Coral, 128 GB) (In",46999,4.6
94,"APPLE iPhone SE (Black, 64 GB)",32999,4.5
95,"Apple iPhone XR (Blue, 64 GB) (Incl",41999,4.6
96,"APPLE iPhone SE (Red, 64 GB)",32999,4.5
97,"Apple iPhone XR (Coral, 64 GB) (Inc",41999,4.6
98,"APPLE iPhone 12 Mini (Blue, 128 GB)",72900,4.5
99,"Apple iPhone SE (Black, 256 GB) (In",47999,4.5
100,"APPLE iPhone 12 (Purple, 128 GB)",84900,4.6
101,"APPLE iPhone XR (Yellow, 64 GB)",41999,4.6
102,"Apple iPhone SE (White, 64 GB) (Inc",32999,4.5
103,"Apple iPhone XR (Black, 128 GB) (In",46999,4.6
104,"Apple iPhone 11 (White, 128 GB) (In",56999,4.6
105,"Apple iPhone XR (White, 128 GB) (In",46999,4.6
106,"Apple iPhone XR (Yellow, 64 GB) (In",41999,4.6
107,"APPLE iPhone 12 Mini (Green, 256 GB",82900,4.5
108,"Apple iPhone SE (Red, 128 GB) (Incl",34999,4.5
109,"Apple iPhone XR (White, 64 GB) (Inc",41999,4.6
110,"Apple iPhone XR (Blue, 128 GB) (Inc",46999,4.6
111,"APPLE iPhone 12 Mini (Black, 256 GB",82900,4.5
112,"APPLE iPhone 12 Mini (Blue, 64 GB)",67900,4.5
113,"APPLE iPhone 12 Mini (Green, 64 GB)",67900,4.5
114,"APPLE iPhone 12 Mini (White, 64 GB)",67900,4.5
115,"Apple iPhone XR (Black, 64 GB) (Inc",41999,4.6
116,"APPLE iPhone XR (Blue, 64 GB)",41999,4.6
117,"Apple iPhone 11 (White, 64 GB) (Inc",51999,4.6
118,"APPLE iPhone 12 Pro Max (Graphite, ",125900,4.6
119,"Apple iPhone SE (White, 128 GB) (In",34999,4.5
